Ceremonia,Mejor película,Mejor director,Mejor actor,Mejor actriz
16 de mayo de 1929,Alas,Drama:  F. B, E. Jannings, J. Gaynor
3 de abril de 1930,La melodía de Broadway,F. Lloyd, W. Baxter, M. Pickford
5 de noviembre de 1930,Sin novedad en el frente,L. MilestoneS, G. Arliss, N. Shearer
10 de noviembre de 1931,Cimarron,N. Taurog, L. Barrymore, M. Dressler
18 de noviembre de 1932,Grand Hotel,F. Borzage, F. March W. Beery, H. Hayes
16 de marzo de 1934,Cavalcade,F. Lloyd, C. Laughton, K. Hepburn
27 de febrero de 1935,It Happened One Night,F. Capra, C. Gable, C. Colbert
5 de marzo de 1936,Mutiny on the Bounty,J. Ford, V. McLaglen, B. Davis
4 de marzo de 1937,The Great Ziegfeld,F. Capra, P. Muni, L. Rainer
10 de marzo de 1938,life of emile !The Life of Emile Zola,L. McC, S. Tracy, L. Rainer
23 de febrero de 1939,You Can't Take It With You,F. Capra, S. Tracy, B. Davis
29 de febrero de 1940,Gone with the Wind,V. Fleming, R. Donat, V. Leigh
27 de febrero de 1941,Rebecca,J. Ford, J. Stewart, G. Rogers
26 de febrero de 1942,How Green Was My Valley,J. Ford, G. Cooper, J. Fontaine
4 de marzo de 1943,MrS. Miniver,W. Wyler, J. Cagney, G. Garson
2 de marzo de 1944,Casablanca,M. Curtiz, P. Lukas, J. Jones
15 de marzo de 1945,Going My Way,L. McC, B. Crosby, I. Bergman
7 de marzo de 1946,The Lost Weekend,B. Wilder, R. Milland, J. Crawford
13 de marzo de 1947,The Best Years of Our Lives,W. Wyler, F. March, O. de Havilland
20 de marzo de 1948,Gentleman's Agreement,E. Kazan, R. Colman, L. Young
24 de marzo de 1949,Hamlet,J. Huston, L. Olivier, J. Wyman
23 de marzo de 1950,All the King's Men,J. Mankiewicz, B. Crawford, O. de Havilland
29 de marzo de 1951,All About Eve,J. Mankiewicz, J. Ferrer, J. Holliday
20 de marzo de 1952,An American in Paris,G. Stevens, H. Bogart, V. Leigh
19 de marzo de 1953,The Greatest Show on Earth,J. Ford, G. Cooper, S. Booth
25 de marzo de 1954,From Here to Eternity,F. Zinnemann, W. Holden, A. Hepburn
30 de marzo 1955,On the Waterfront,E. Kazan, M. Brando, G. Kelly
21 de marzo de 1956,Marty,D. Mann, E. Borgnine, A. Magnani
27 de marzo 1957,Around the World in 80 Days,G. Stevens, Y. Brynner, I. Bergman
26 de marzo de 1958,The Bridge on the River Kwai,D. Lean, A. Guinness, J. Woodward
6 de abril 1959,Gigi,V. Minnelli, D. Niven, S. Hayward
4 de abril de 1960,Ben-Hur,W. Wyler, C. Heston, S. Signoret
17 de abril de 1961,apartment !The Apartment,B. Wilder, B. Lancaster, E. Taylor
9 de abril de 1962,West Side Story,R. Wise J, M. Schell, S. Loren
8 de abril 1963,Lawrence of Arabia,D. Lean, G. Peck), A. Bancroft
13 de abril de 1964,Tom Jones,T. Richardson, S. Poitier, P. Neal
5 de abril de 1965,My Fair Lady,G. Cukor, R. Harrison, J. Andrews
18 de abril 1966,The Sound of Music,R. Wise, L. Marvin, J. Christie
10 de abril 1967,A Man for All Seasons,F. Zinnemann, P. Scofield, E. Taylor
10 de abril de 1968,In the Heat of the Night,M. Nichols, R. Steiger, K. Hepburn
14 de abril 1969,Oliver!,C. Reed, C. Robertson, K. Hepburn B. Streisand
7 de abril 1970,Midnight Cowboy,J. Schlesinger, John Wayne, M. Smith
15 de abril 1971,Patton,F. Schaffner, G. C. Scott, G. Jackson
10 de abril 1972,The French Connection,W. Friedkin, G. Hackman, J. Fonda
27 de marzo 1973,The Godfather,B. Fosse, M. Brando, L. Minnelli
2 de abril de 1974,The Sting,G. R. H, J. Lemmon, G. Jackson
8 de abril 1975,El padrino II,F. F. C, A. Carney, E. Burstyn
29 de marzo 1976,One Flew Over the Cuckoo's Nest,M. Forman, J. Nicholson, L. Fletcher
28 de marzo 1977,Rocky,J. G. A, P. Finch, F. Dunaway
3 de abril 1978,Annie Hall,W. Allen, R. Dreyfuss, D. Keaton
9 de abril 1979,The Deer Hunter,M. Cimino, J. Voight, J. Fonda
14 de abril de 1980,Kramer vs. Kramer,R. Benton, D. Hoffman, S. Field
31 de marzo 1981,Ordinary People,R. Redford, R. De Niro, S. Spacek
29 de marzo de 1982,Chariots of Fire,W. Beatty, H. Fonda, K. Hepburn
11 de abril 1983,Gandhi,R. Attenborough, R. Duvall, M. Streep
9 de abril de 1984,Terms of Endearment,J. L. B, R. Duvall, S. MacLaine
25 de marzo 1985,Amadeus,M. Forman, F. M. Abraham, S. Field
24 de marzo 1986,Out of Africa,S. Pollack, W. Hurt, G. Page
30 de marzo 1987,Platoon,O. Stone, P. Newman, M. Matlin
11 de abril de 1988,The Last Emperor,B. Bertolucci, M. Douglas, Cher
29 de marzo de 1989,Rain Man,B. Levinson, D. Hoffman, J. Foster
26 de abril de 1990,Driving Miss Daisy,O. Stone, D. Day-Lewis, J. Tandy
25 de marzo de 1991,Dances with Wolves,K. Costner, J. Irons, K. Bates
