,0,1,2,3,4
0,Love 101,56567,Movie,2000,Comedy
1,Nothing Sacred,56568,Movie,2000,Comedy
2,State and Main,56569,Movie,2000,Comedy
3,Bruno,56570,Movie,2000,Comedy
4,Sånger från andra våningen,56571,Movie,2000,Comedy
5,The Elf Who Didn't Believe,56572,Movie,2000,Comedy
6,Chicken Run,56573,Movie,2000,Comedy
7,Kate & Leopold,56884,Movie,2001,Comedy
8,El día de los albañiles 2,56885,Movie,2001,Comedy
9,Horror in the Attic,56889,Movie,2001,Comedy
10,Burning Down the House,56890,Movie,2001,Comedy
11,Sticks,56891,Movie,2001,Comedy
12,Heartbreakers,56892,Movie,2001,Comedy
13,Shrek,56893,Movie,2001,Comedy
14,Men in Black II,57204,Movie,2002,Comedy
15,Trance,57205,Movie,2002,Comedy
16,Flophouse,57206,Movie,2002,Comedy
17,Hilda Humphrey,57207,Short,2002,Comedy
18,Book of Love: The Definitive Reason Why Men Are Dogs,57209,Movie,2002,Comedy
19,Clockstoppers,57210,Movie,2002,Comedy
20,Spooky House,57211,Movie,2002,Comedy
21,Easter,57213,Movie,2002,Comedy
22,Remembering Mario,57524,Movie,2003,Comedy
23,Between the Sheets,57525,Movie,2003,Comedy
24,Dominator,57526,Movie,2003,Comedy
25,Intolerable Cruelty,57527,Movie,2003,Comedy
26,Nobody Knows Anything!,57528,Movie,2003,Comedy
27,St. Andrew's Girls,57529,Movie,2003,Comedy
28,Sinbad: Legend of the Seven Seas,57530,Movie,2003,Comedy
29,Bad Boys II,57531,Movie,2003,Comedy
30,West from North Goes South,57844,Movie,2004,Comedy
31,Serial Killer,57845,Movie,2004,Comedy
32,Thunderbirds,57846,Movie,2004,Comedy
33,A Night at Sophie's,57847,Movie,2004,Comedy
34,Kebab Connection,57848,Movie,2004,Comedy
35,Meri Biwi Ka Jawab Nahin,57849,Movie,2004,Comedy
36,29 and Holding,57851,Movie,2004,Comedy
37,B Movie,57853,Movie,2004,Comedy
38,The Naked Monster,58164,Movie,2005,Comedy
39,Three,58167,Movie,2005,Comedy
40,Angels with Angles,58169,Movie,2005,Comedy
41,Bob the Butler,58170,Movie,2005,Comedy
42,Bad Girls from Valley High,58171,Movie,2005,Comedy
43,Lucky 13,58172,Movie,2005,Comedy
44,Slipdream,58173,Movie,2005,Comedy
45,Live Freaky Die Freaky,58486,Movie,2006,Comedy
46,Death of a Saleswoman,58487,Movie,2006,Comedy
47,Funny Money,58489,Movie,2006,Comedy
48,How to Go Out on a Date in Queens,58490,Movie,2006,Comedy
49,Mothers and Daughters,58491,Movie,2006,Comedy
50,Ozzie,58492,Movie,2006,Comedy
51,Obsluhoval jsem anglického krále,58493,Movie,2006,Comedy
52,The Junior Defenders,58804,Movie,2007,Comedy
53,Tortilla Heaven,58805,Movie,2007,Comedy
54,The Bros.,58806,Movie,2007,Comedy
55,Rush Hour 3,58808,Movie,2007,Comedy
56,Hollywood Dot Com,58809,Movie,2007,Comedy
57,The Man Who Would Be Queen,58810,Movie,2007,Comedy
58,Die Sandra Situation,58811,Short,2007,Comedy
59,Marigold,58812,Movie,2007,Comedy
60,"So, You've Downloaded a Demon",58813,Movie,2007,Comedy
61,Biriken,59124,Movie,2008,Comedy
62,Alien Love Triangle,59125,Short,2008,Comedy
