,Titulo pelicula,ID,Tipo pelicula,Año,Genero
0,Keizer Kuzco,56646,Movie,2000,Fantasy
1,Dinosaur,56647,Movie,2000,Fantasy
2,The Crow: Salvation,56648,Movie,2000,Fantasy
3,The Adventures of Rocky & Bullwinkle,56649,Movie,2000,Fantasy
4,The Road to El Dorado,56650,Movie,2000,Fantasy
5,Highlander: Endgame,56651,Movie,2000,Fantasy
6,Red Lipstick,56652,Movie,2000,Fantasy
7,The Legend of Bagger Vance,56653,Movie,2000,Fantasy
8,The Sorcerer's Apprentice,56965,Movie,2001,Fantasy
9,Lightmaker,56968,Movie,2001,Fantasy
10,Little Shop of Erotica,56970,Movie,2001,Fantasy
11,Un jour,56971,Short,2001,Fantasy
12,Vidocq,56972,Movie,2001,Fantasy
13,Monkeybone,56973,Movie,2001,Fantasy
14,Piratenplaneet,57286,Movie,2002,Fantasy
15,The Princess and the Pea,57287,Movie,2002,Fantasy
16,Interstate 60: Episodes of the Road,57288,Movie,2002,Fantasy
17,The Lord of the Rings: The Two Towers,57289,Movie,2002,Fantasy
18,La balsa de piedra,57290,Movie,2002,Fantasy
19,Legend of the Phantom Rider,57293,Movie,2002,Fantasy
20,Silver Man,57607,Movie,2003,Fantasy
21,Pumuckl und sein Zirkusabenteuer,57609,Movie,2003,Fantasy
22,Bulletproof Monk,57611,Movie,2003,Fantasy
23,El milagro,57612,Short,2003,Fantasy
24,The Devil and Daniel Webster,57613,Movie,2003,Fantasy
25,Warrior Sisters,57925,Movie,2004,Fantasy
26,Raspberry & Lavender,57927,Movie,2004,Fantasy
27,Berserker,57929,Movie,2004,Fantasy
28,Off the Pages,57931,Movie,2004,Fantasy
29,Mothers Little Murderer,57932,Movie,2004,Fantasy
30,Shrek 2,57933,Movie,2004,Fantasy
31,Last Mountain,58249,Movie,2005,Fantasy
32,Mee-Shee: The Water Giant,58250,Movie,2005,Fantasy
33,The Curse of the Were-Rabbit,58251,Movie,2005,Fantasy
34,Lung do kei yuen,58252,Movie,2005,Fantasy
35,Whispers from a Shallow Grave,58566,Movie,2006,Fantasy
36,Happily N'Ever After,58567,Movie,2006,Fantasy
37,Arthur en de Minimoys,58570,Movie,2006,Fantasy
38,The Science of Sleep,58571,Movie,2006,Fantasy
39,Love Hollywood Style,58572,Movie,2006,Fantasy
40,Sea of Dreams,58573,Movie,2006,Fantasy
41,Ratatouille,58890,Movie,2007,Fantasy
42,The Golden Compass,58891,Movie,2007,Fantasy
43,Meet the Robinsons,58892,Movie,2007,Fantasy
44,Blood and Chocolate,58893,Movie,2007,Fantasy
45,In Your Dreams,59206,Movie,2008,Fantasy
46,Carlston za Ognjenku,59208,Movie,2008,Fantasy
47,De maanprinses en het geheim van het witte paard,59209,Movie,2008,Fantasy
48,Nim's Island,59210,Movie,2008,Fantasy
49,Hellboy II: The Golden Army,59211,Movie,2008,Fantasy
50,De Spiderwick kronieken,59212,Movie,2008,Fantasy
51,The Tale of Despereaux,59213,Movie,2008,Fantasy
52,The Magic Stone,59524,Movie,2009,Fantasy
53,Malice in Wonderland,59527,Movie,2009,Fantasy
54,The Lovely Bones,59529,Movie,2009,Fantasy
55,Max en de maximonsters,59531,Movie,2009,Fantasy
56,Proinhibition,59532,Short,2009,Fantasy
57,Dormir al sol,59845,Movie,2010,Fantasy
58,Piranha 3D,59848,Movie,2010,Fantasy
59,Prince of Persia: The Sands of Time,59849,Movie,2010,Fantasy
60,El horror de la dama del lago,59850,Movie,2010,Fantasy
61,Ramona and Beezus,59851,Movie,2010,Fantasy
62,Tranced,59852,Movie,2010,Fantasy
63,The Legend of Secret Pass,59853,Movie,2010,Fantasy
64,50 Feet of String,60164,Movie,2011,Fantasy
65,The Smurfs,60167,Movie,2011,Fantasy
66,The Tree of Life,60168,Movie,2011,Fantasy
67,Thor,60171,Movie,2011,Fantasy
68,Spoon,60172,Movie,2011,Fantasy
69,Conan the Barbarian,60173,Movie,2011,Fantasy
70,Hotel Transylvania,60488,Movie,2012,Fantasy
71,De Hobbit: Een onverwachte reis,60489,Movie,2012,Fantasy
72,Masuk,60490,Short,2012,Fantasy
73,Kathakas,60491,Short,2012,Fantasy
74,The Fallen Word,60807,Movie,2013,Fantasy
75,Legends of Oz: Dorothy's Return,60809,Movie,2013,Fantasy
76,Legend of the Red Reaper,60810,Movie,2013,Fantasy
77,The Hero of Color City,61126,Movie,2014,Fantasy
78,Hamlet A.D.D.,61130,Movie,2014,Fantasy
79,Tracy Smith: La Cueva de Resurrección,61131,Short,2014,Fantasy
