,Titulo pelicula,ID,Tipo pelicula,Año,Genero
0,Deadfall,56684,Movie,2000,Horror
1,Scream 3,56685,Movie,2000,Horror
2,Supernova,56686,Movie,2000,Horror
3,The Chronicles of Riddick: Pitch Black,56687,Movie,2000,Horror
4,Mothman,56689,Movie,2000,Horror
5,American Psycho,56690,Movie,2000,Horror
6,Eyes to Heaven,56691,Movie,2000,Horror
7,Ricky 6,56692,Movie,2000,Horror
8,From Hell,57005,Movie,2001,Horror
9,Victoria's Shadow,57006,Movie,2001,Horror
10,Unseen Evil,57007,Movie,2001,Horror
11,Bones,57009,Movie,2001,Horror
12,Hot Tubs II: The Terror Returns,57010,Short,2001,Horror
13,Generation Ax,57011,Movie,2001,Horror
14,Blade II,57327,Movie,2002,Horror
15,Survival Island,57328,Movie,2002,Horror
16,Harry Knuckles and the Treasure of the Aztec Mummy,57330,Short,2002,Horror
17,Halloween: Resurrection,57332,Movie,2002,Horror
18,Beyond Re-Animator,57646,Movie,2003,Horror
19,The Invitation,57648,Movie,2003,Horror
20,House of 1000 Corpses,57650,Movie,2003,Horror
21,Subterano,57651,Movie,2003,Horror
22,Dorian,57652,Movie,2003,Horror
23,The American Bickman Burger,57653,Short,2003,Horror
24,Frost,57965,Movie,2004,Horror
25,Exorcist: The Beginning,57966,Movie,2004,Horror
26,Habitaciones para turistas,57969,Movie,2004,Horror
27,Season's Greetings,57970,Short,2004,Horror
28,Straight Into Darkness,57971,Movie,2004,Horror
29,Cursed,58288,Movie,2005,Horror
30,2001 Maniacs,58289,Movie,2005,Horror
31,Frankenstein & the Werewolf Reborn!,58290,Movie,2005,Horror
32,From Venus,58291,Movie,2005,Horror
33,Beyond the Wall of Sleep,58605,Movie,2006,Horror
34,Under Surveillance,58606,Movie,2006,Horror
35,Through the Looking Glass,58607,Movie,2006,Horror
36,The Creature of the Sunny Side Up Trailer Park,58608,Movie,2006,Horror
37,Satan's Playground,58609,Movie,2006,Horror
38,Drømme om djævelen,58613,Short,2006,Horror
39,Each Time I Kill,58926,Movie,2007,Horror
40,Kottentail,58929,Movie,2007,Horror
41,The Devil's Muse,58931,Movie,2007,Horror
42,Shadow of a Candle,59244,Short,2008,Horror
43,The Horror Vault,59246,Movie,2008,Horror
44,The Eye,59248,Movie,2008,Horror
45,Beneath the Mississippi,59249,Movie,2008,Horror
46,Death's Door,59250,Movie,2008,Horror
47,Something's Wrong in Kansas,59251,Movie,2008,Horror
48,Autopsy,59252,Movie,2008,Horror
49,The X Files: I Want to Believe,59253,Movie,2008,Horror
50,T.M.A.,59564,Movie,2009,Horror
51,El libro de piedra,59565,Movie,2009,Horror
52,Possession,59566,Movie,2009,Horror
53,It Came from Trafalgar,59568,Movie,2009,Horror
54,Cabeza de pescado,59569,Movie,2009,Horror
55,Daybreakers,59571,Movie,2009,Horror
56,Cabras,59572,Movie,2009,Horror
57,Town Creek,59573,Movie,2009,Horror
58,The Devil Inside,59885,Movie,2010,Horror
59,Les 7 jours du talion,59886,Movie,2010,Horror
60,The Crazies,59887,Movie,2010,Horror
61,Satan Hates You,59888,Movie,2010,Horror
62,Perfect Life,59892,Movie,2010,Horror
63,The Invited,59893,Movie,2010,Horror
64,The Passing,60205,Movie,2011,Horror
65,Kill,60208,Movie,2011,Horror
66,War of the Dead,60209,Movie,2011,Horror
67,Priest,60210,Movie,2011,Horror
68,Immortal Island,60211,Movie,2011,Horror
69,Red State,60212,Movie,2011,Horror
70,Rift,60213,Movie,2011,Horror
71,The Possession,60524,Movie,2012,Horror
72,Bad Blood,60528,Movie,2012,Horror
73,Jack & Diane,60532,Movie,2012,Horror
74,Silent Hill: Revelation,60533,Movie,2012,Horror
75,Night of the Templar,60845,Movie,2013,Horror
76,Shroud,60847,Movie,2013,Horror
77,Grandmother's Farm,60848,Movie,2013,Horror
78,Outcast,60850,Short,2013,Horror
79,Fantasia 2,60851,Movie,2013,Horror
80,Bloedson,60852,Short,2013,Horror
81,House at the End of the Drive,61164,Movie,2014,Horror
82,Puppet Show,61484,Short,2015,Horror
