Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
6.3,DirectorAndrzej CzarneckiWriterMikhail ShelekhovStarsMikhail EfremovRim AyupovRomualdas Ramanauskas,Mikhail Shelekhov,,Istota,tt0102362,Drama
3.4,DirectorsDavid DouglasTim DouglasWritersDavid DouglasChristopher SalazarStarsDean CainThomas Ian GriffithJustin Whalin,David DouglasChristopher Salazar,Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out again.,For the Cause,tt0113092,Drama
7.0,Desconocido,Desconocido,"Florentino is a young horseman and singer, a free spirit living in the open world without restrictions, in the Venezuelan plains. He confronts the devil in a duel of improvised verses. As time passes, these unspoilt plains start to change. Through Florentino's voice and actions, the plains cannot be conquered. Its culture defies the devil in the eternal fight between ... Read all",Florentino y el diablo,tt0113086,Drama
3.7,DirectorRakesh RoshanWritersSachin BhowmickRavi KapoorSagar SarhadiStarsJuhi ChawlaAnil KapoorRishi Kapoor,Sachin BhowmickRavi KapoorSagar Sarhadi,"Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Read all",Karobaar: The Business of Love,tt0116748,Drama
6.3,DirectorMazhar KhanStarsJackie ShroffNana PatekarKumar Gaurav,Jackie ShroffNana PatekarKumar Gaurav,"After falling prey to underworld, four friends jeopardize their personal lives with point of no return.",Gang,tt0116391,Drama
7.7,DirectorSamer Al-AsadiStarsMarc CasabaniDastan KhaliliJocelyne Lopez,Marc CasabaniDastan KhaliliJocelyne Lopez,,Consequence,tt0115937,Drama
8.1,Desconocido,Kar-Wai Wong,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Fa yeung nin wah,tt0118694,Drama
6.9,DirectorTeguh KaryaWriterTeguh KaryaStarsSlamet RahardjoRachmat HidayatSardono W. Kusumo,Teguh Karya,"A group of Javanese villagers are driven to revolt against the Dutch colonialists in this historical drama, which revolves around the themes of loyalty and treachery.",November 1828,tt0079644,Drama
3.7,DirectorDeepak SareenWritersHoney IraniJaved SiddiquiStarsGovindaAishwarya Rai BachchanJackie Shroff,Honey IraniJaved Siddiqui,"Tony (Govinda), a tour guide, falls in love with one of his clients, Sonia (Aishwarya Rai), and tries to woo her. However, Sonia does not reciprocate his feelings since she is in love with another man.",Albela,tt0118578,Drama
5.5,DirectorRD RobbWritersBethany Ashton WolfTawd BeckmanRD RobbStarsScott BloomKevin ConnollyTobey Maguire,Bethany Ashton WolfTawd BeckmanRD Robb,A group of Los Angeles teenagers meet every week at their local diner to discuss their latest misadventures in their miserable lives.,Don's Plum,tt0119004,Drama
