,Titulo pelicula,ID,Tipo pelicula,Año,Genero
0,The Million Dollar Hotel,56724,Movie,2000,Mystery
1,Waking the Dead,56725,Movie,2000,Mystery
2,Luckytown,56729,Movie,2000,Mystery
3,Passion of Mind,56730,Movie,2000,Mystery
4,Four Dogs Playing Poker,56731,Movie,2000,Mystery
5,What Lies Beneath,56732,Movie,2000,Mystery
6,Trixie,56733,Movie,2000,Mystery
7,Enigma,57046,Movie,2001,Mystery
8,Impostor,57047,Movie,2001,Mystery
9,Dark Water,57048,Movie,2001,Mystery
10,Mulholland Drive,57050,Movie,2001,Mystery
11,The Confidence Man,57051,Movie,2001,Mystery
12,Ashes to Ashes,57052,Short,2001,Mystery
13,The Caveman's Valentine,57053,Movie,2001,Mystery
14,Daybreak,57365,Movie,2002,Mystery
15,Minority Report,57367,Movie,2002,Mystery
16,Dead Man's Dream,57368,Movie,2002,Mystery
17,New Best Friend,57369,Movie,2002,Mystery
18,Last Seen,57370,Movie,2002,Mystery
19,The Salton Sea,57371,Movie,2002,Mystery
20,Florida City,57372,Movie,2002,Mystery
21,In the Cut,57685,Movie,2003,Mystery
22,The Accidental Detective,57688,Movie,2003,Mystery
23,La collezione invisibile,57691,Movie,2003,Mystery
24,Basic,57692,Movie,2003,Mystery
25,Vera,57693,Movie,2003,Mystery
26,Killer Weekend,58009,Movie,2004,Mystery
27,Suske en Wiske: De duistere diamant,58010,Movie,2004,Mystery
28,Fascination,58012,Movie,2004,Mystery
29,Harry Potter en de gevangene van Azkaban,58013,Movie,2004,Mystery
30,Jackpot,58324,Movie,2005,Mystery
31,Firecracker,58325,Movie,2005,Mystery
32,The Krone Experiment,58326,Movie,2005,Mystery
33,Love Thy Neighbor,58327,Movie,2005,Mystery
34,Los suicidas,58329,Movie,2005,Mystery
35,Harry Potter en de vuurbeker,58330,Movie,2005,Mystery
36,Keep Your Distance,58332,Movie,2005,Mystery
37,The PianoTuner of EarthQuakes,58333,Movie,2005,Mystery
38,Down the Road,58648,Movie,2006,Mystery
39,Freedomland,58651,Movie,2006,Mystery
40,Day of Wrath,58652,Movie,2006,Mystery
41,Ne le dis à personne,58653,Movie,2006,Mystery
42,Broke Sky,58966,Movie,2007,Mystery
43,Captivity,58969,Movie,2007,Mystery
44,Rise,58970,Movie,2007,Mystery
45,Dreamland,58971,Movie,2007,Mystery
46,88 Minutes,58972,Movie,2007,Mystery
47,A londoni férfi,58973,Movie,2007,Mystery
48,Surveillance,59287,Movie,2008,Mystery
49,Quid Pro Quo,59288,Movie,2008,Mystery
50,Dimples,59292,Movie,2008,Mystery
51,Passengers,59293,Movie,2008,Mystery
52,Moonlight Blade,59604,Movie,2009,Mystery
53,Cargo,59611,Movie,2009,Mystery
54,Disconnect,59927,Movie,2010,Mystery
55,The Losers,59930,Movie,2010,Mystery
56,My Soul to Take,59932,Movie,2010,Mystery
57,Psych:9,59933,Movie,2010,Mystery
58,Extremely Loud & Incredibly Close,60247,Movie,2011,Mystery
59,Atlas Shrugged: Part I,60248,Movie,2011,Mystery
60,Double Tap,60249,Movie,2011,Mystery
61,Hoodwinked Too! Hood vs. Evil,60250,Movie,2011,Mystery
62,Katharsis,60251,Movie,2011,Mystery
63,Blur,60252,Movie,2011,Mystery
64,The Thing,60253,Movie,2011,Mystery
65,The Attack,60567,Movie,2012,Mystery
66,Exposed,60568,Movie,2012,Mystery
67,The Courier,60570,Movie,2012,Mystery
68,Frankenstein's Sorbid Lover,60571,Short,2012,Mystery
69,La Visita,60572,Short,2012,Mystery
70,The Devil You Know,60884,Movie,2013,Mystery
71,Whitie Pills Multi-Symptom,60891,Short,2013,Mystery
72,Hollywood Necronomicon,60893,Movie,2013,Mystery
73,The Sisterhood of Night,61205,Movie,2014,Mystery
74,Endless Night,61524,Short,2015,Mystery
75,Step into the Woods,61526,Short,2015,Mystery
76,The First Act,61527,Short,2015,Mystery
77,Child 44,61528,Movie,2015,Mystery
