,Titulo pelicula,ID,Tipo pelicula,Año,Genero
0,The Fantasticks,56765,Movie,2000,Romance
1,Passionnément,56769,Movie,2000,Romance
2,Return to Me,56772,Movie,2000,Romance
3,Deep Blue,57087,Movie,2001,Romance
4,Town & Country,57090,Movie,2001,Romance
5,Long Lost Love,57093,Movie,2001,Romance
6,Tangoed Lives,57405,Movie,2002,Romance
7,Duty Dating,57408,Movie,2002,Romance
8,Pipe Dream,57409,Movie,2002,Romance
9,Desert Saints,57410,Movie,2002,Romance
10,Moonlight Mile,57412,Movie,2002,Romance
11,Crossing the Rubicon,57413,Movie,2002,Romance
12,Osmose,57729,Movie,2003,Romance
13,Venus on the Halfshell,57730,Movie,2003,Romance
14,Finding Home,57732,Movie,2003,Romance
15,The Sleeping Dictionary,57733,Movie,2003,Romance
16,Beacon Hill,58049,Movie,2004,Romance
17,2046,58050,Movie,2004,Romance
18,Roomies,58052,Movie,2004,Romance
19,True Vinyl,58053,Movie,2004,Romance
20,Alchemy,58369,Movie,2005,Romance
21,Aspects of Love,58370,Movie,2005,Romance
22,Rent,58372,Movie,2005,Romance
23,Going Shopping,58373,Movie,2005,Romance
24,The Worst Day Ever,58688,Movie,2006,Romance
25,An Existential Affair,58689,Movie,2006,Romance
26,Humko Tumse Pyaar Hai,58690,Movie,2006,Romance
27,Loving Annabelle,58691,Movie,2006,Romance
28,1972,58692,Movie,2006,Romance
29,Der Liebeswunsch,58693,Movie,2006,Romance
30,Jin yu liang yuan hong lou meng,59004,Movie,2007,Romance
31,Romantik,59006,Movie,2007,Romance
32,Lucky You,59008,Movie,2007,Romance
33,Fighting Words,59009,Movie,2007,Romance
34,Susan Hero,59010,Movie,2007,Romance
35,Playas Ball,59011,Movie,2007,Romance
36,Crossing,59012,Movie,2007,Romance
37,Red Is the Color of,59013,Movie,2007,Romance
38,Leatherheads,59332,Movie,2008,Romance
39,House of Boys,59645,Movie,2009,Romance
40,Youth in Revolt,59646,Movie,2009,Romance
41,Utolsó jelentés Annáról,59647,Movie,2009,Romance
42,The Perfect Sleep,59649,Movie,2009,Romance
43,AmerAsian,59650,Movie,2009,Romance
44,Why George?,59651,Movie,2009,Romance
45,Kisse Pyaar Karoon?,59652,Movie,2009,Romance
46,Yesterday Was a Lie,59653,Movie,2009,Romance
47,"Cargo, les hommes perdus.",59966,Movie,2010,Romance
48,Milenge Milenge,59967,Movie,2010,Romance
49,Barry Munday,59970,Movie,2010,Romance
50,Bandeiji,59971,Movie,2010,Romance
51,A Bird of the Air,60288,Movie,2011,Romance
52,Hall Pass,60289,Movie,2011,Romance
53,Something Borrowed,60290,Movie,2011,Romance
54,What's Your Number?,60291,Movie,2011,Romance
55,Till You Get to Baraboo,60292,Movie,2011,Romance
56,Red Dog,60293,Movie,2011,Romance
57,Elliot Loves,60607,Movie,2012,Romance
58,Belle du Seigneur,60608,Movie,2012,Romance
59,Letting Go,60610,Movie,2012,Romance
60,Jewtopia,60611,Movie,2012,Romance
61,Strange Frame: Love & Sax,60613,Movie,2012,Romance
62,Approaching Midnight,60928,Movie,2013,Romance
63,Suite Française,61248,Movie,2014,Romance
64,Life Mein Twist Hai,61249,Movie,2014,Romance
65,Zvyozdy svetyat vsem,61251,Movie,2014,Romance
66,La scelta,61252,Short,2014,Romance
67,Hum tum,61253,Movie,2014,Romance
68,Jackson Arms,61566,Movie,2015,Romance
69,Chooriyan,61567,Movie,2015,Romance
